ID , Source_Name , RA , Dec , z , Rmag , Class , Flux_1GHz , Flux_143GHz , Flux_keV , Flux_Fermi
#id , Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
101 , 5BZBJ0159-2740 , 01 59 43.34 , -27 40 38.2 , 0  , 15.9 , BL Lac , 103 , 0 , 0.38 , 6e-10
102 , 5BZBJ0200+2712 , 02 00 29.45 , +27 12 37.79 , 0  , 19.1 , BL Lac , 16 , 0 , 1.54 , 0
103 , 5BZBJ0201+0034 , 02 01 06.18 , +00 34 00.19 , 0.298  , 18.1 , BL Lac , 13 , 0 , 3.53 , 0
104 , 5BZBJ0202+0849 , 02 02 26.4 , +08 49 13.58 , 0  , 19.1 , BL Lac , 135 , 0 , 1.15 , 9e-10
105 , 5BZBJ0202+4205 , 02 02 43.65 , +42 05 16.29 , 0  , 18.8 , BL Lac Candidate , 167 , 0 , 0 , 0
106 , 5BZBJ0203+3042 , 02 03 44.27 , +30 42 37.79 , 0.761  , 19.1 , BL Lac , 175 , 0 , 0 , 6e-10
107 , 5BZBJ0203+7232 , 02 03 33.37 , +72 32 53.69 , 0  , 14.8 , BL Lac , 229 , 0 , 0.09 , 1e-9
108 , 5BZBJ0204-3333 , 02 04 12.78 , -33 33 41.11 , 0.617  , 19.1 , BL Lac , 6 , 0 , 1.44 , 0
109 , 5BZBJ0207-6837 , 02 07 50.93 , -68 37 55.2 , 0  , 19 , BL Lac , 310 , 0 , 0.14 , 3e-10
110 , 5BZBJ0208+3523 , 02 08 38.16 , +35 23 12.91 , 0.318  , 18.8 , BL Lac , 5 , 0 , 2.88 , 6e-10
111 , 5BZBJ0208-0047 , 02 08 26.34 , -00 47 44.41 , 0  , 20.5 , BL Lac , 579 , 0 , 0 , 0
112 , 5BZBJ0209+4449 , 02 09 16.9 , +44 49 46.88 , 0  , 18.1 , BL Lac Candidate , 29 , 0 , 5.65 , 0
113 , 5BZBJ0209-5229 , 02 09 21.6 , -52 29 22.59 , 0  , 14.5 , BL Lac , 77 , 0 , 7.98 , 1.5e-9
114 , 5BZBJ0211+1051 , 02 11 13.18 , +10 51 34.81 , 0  , 15.4 , BL Lac , 319 , 1228 , 3.83 , 2.6e-9
115 , 5BZBJ0212+2244 , 02 12 52.81 , +22 44 52.0 , 0.459  , 17 , BL Lac , 67 , 0 , 1.42 , 1e-9
116 , 5BZBJ0212-3503 , 02 12 30.51 , -35 03 30.38 , 0.393 ?  , 18.7 , BL Lac , 18 , 0 , 1.91 , 0
117 , 5BZBJ0213+1213 , 02 13 05.17 , +12 13 10.88 , 0  , 20.8 , BL Lac , 132 , 0 , 0 , 0
118 , 5BZBJ0216+2314 , 02 16 32.09 , +23 14 50.2 , 0.288  , 18.4 , BL Lac Candidate , 36 , 0 , 5.02 , 0
119 , 5BZBJ0216-6636 , 02 16 50.84 , -66 36 42.51 , 0  , 17.1 , BL Lac , 103 , 0 , 2.71 , 7e-10
120 , 5BZBJ0217+0837 , 02 17 17.12 , +08 37 04.0 , 0  , 17.4 , BL Lac , 315 , 387 , 0.71 , 1.6e-9
121 , 5BZBJ0219-1725 , 02 19 05.5 , -17 25 13.11 , 0.128  , 17.1 , BL Lac , 62 , 0 , 0.73 , 4e-10
122 , 5BZBJ0219-1842 , 02 19 21.16 , -18 42 38.7 , 0  , 19.4 , BL Lac , 302 , 0 , 0 , 0
123 , 5BZBJ0220-0842 , 02 20 48.46 , -08 42 50.4 , 0.525  , 18.3 , BL Lac , 66 , 0 , 0.89 , 0
124 , 5BZBJ0222+4302 , 02 22 39.6 , +43 02 07.79 , 0  , 14.5 , BL Lac , 2303 , 498 , 2.29 , 2.56e-8
125 , 5BZBJ0223-1117 , 02 23 14.23 , -11 17 38.29 , 0  , 18.1 , BL Lac , 14 , 0 , 0.56 , 3e-10
